WhiteElo,BlackElo,Result,Moves,OpeningName
1888,1867,1-0,"['e3', 'e5', 'c4', 'Nf6', 'a3', 'c6', 'd3', 'h6', 'Nf3', 'd6']",Van't Kruijs Opening
2152,2066,1-0,"['e3', 'f5', 'Ne2', 'Nf6', 'Ng3', 'd5', 'f4', 'c5', 'Be2', 'e6']",Van't Kruijs Opening
2013,1986,0-1,"['e3', 'd5', 'd3', 'c5', 'c3', 'e5', 'b3', 'Be6', 'a3', 'f5']",Van't Kruijs Opening
1803,1825,1-0,"['e3', 'e5', 'b3', 'd6', 'Bb2', 'Be7', 'Ne2', 'Nf6', 'Ng3', 'O-O']",Van't Kruijs Opening
2277,2337,0-1,"['e3', 'g6', 'b4', 'Bg7', 'd4', 'a5', 'b5', 'c5', 'a4', 'cxd4']",Van't Kruijs Opening
1984,1983,0-1,"['e3', 'e5', 'd4', 'exd4', 'exd4', 'd5', 'b3', 'Nc6', 'c3', 'Nf6']",Van't Kruijs Opening
2347,2373,1/2-1/2,"['e3', 'Nf6', 'Nf3', 'g6', 'd4', 'Bg7', 'b3', 'O-O', 'Nc3', 'c5']",Van't Kruijs Opening
1930,1989,1-0,"['e3', 'e5', 'b3', 'Nc6', 'Bb2', 'a5', 'a4', 'Qe7', 'Nc3', 'Qf6']",Van't Kruijs Opening
1919,2065,0-1,"['e3', 'e5', 'd4', 'd6', 'dxe5', 'a6', 'exd6', 'Bxd6', 'Nf3', 'Nc6']",Van't Kruijs Opening
1905,2012,0-1,"['e3', 'g6', 'd4', 'Bg7', 'c4', 'd6', 'Nc3', 'f5', 'Nf3', 'Nf6']",Van't Kruijs Opening
1838,1917,1-0,"['e3', 'e6', 'b3', 'b6', 'Bb2', 'Bb7', 'Qe2', 'Qe7', 'Nc3', 'Nc6']",Van't Kruijs Opening
2259,2285,0-1,"['e3', 'd5', 'Be2', 'e6', 'c3', 'f5', 'd4', 'Nf6', 'g3', 'Bd6']",Van't Kruijs Opening
2231,2244,1-0,"['e3', 'c5', 'g3', 'e6', 'Bg2', 'd5', 'Ne2', 'Nf6', 'O-O', 'Be7']",Van't Kruijs Opening
1961,1886,1-0,"['e3', 'e5', 'Be2', 'Nc6', 'Nf3', 'Bc5', 'd4', 'exd4', 'exd4', 'Bb6']",Van't Kruijs Opening
2101,2092,1-0,"['e3', 'e5', 'a3', 'd5', 'b3', 'c6', 'Bb2', 'Nd7', 'Be2', 'f5']",Van't Kruijs Opening
1993,1974,0-1,"['e3', 'e6', 'Ne2', 'd5', 'g3', 'Nf6', 'Bg2', 'Bd6', 'h3', 'c6']",Van't Kruijs Opening
2169,2147,1-0,"['e3', 'e6', 'd4', 'd5', 'Nf3', 'Nf6', 'Be2', 'c5', 'O-O', 'Nc6']",Van't Kruijs Opening
