case:concept:name,concept:name,time:timestamp,Bracket,Opening
High_Elo_Van't_Kruijs_Opening_31224,e4,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31224,c6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,c6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,Ne2,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,d6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,g3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,Qb6,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,Bg2,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,Bd7,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,O-O,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31225,e6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,e5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,Nf3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,e4,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,Nd4,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,d5,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,c4,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,c5,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,Nb3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31226,d4,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,d3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,f5,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,c3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,e5,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,b3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,c5,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,a3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31227,Be6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,e6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,f4,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,c5,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,Nf3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,d5,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,d3,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,Nc6,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,Be2,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31228,Bd6,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,Be2,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,Bf5,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,c3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,e5,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,d4,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,e4,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,Qb3,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31229,c5,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,Nf6,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,d3,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,g6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,Nf3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,Bg7,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,Be2,2025-04-01 12:00:06,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,O-O,2025-04-01 12:00:07,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,O-O,2025-04-01 12:00:08,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31230,d5,2025-04-01 12:00:09,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,e3,2025-04-01 12:00:00,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,d5,2025-04-01 12:00:01,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,Be2,2025-04-01 12:00:02,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,e6,2025-04-01 12:00:03,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,f3,2025-04-01 12:00:04,High Elo,Van't_Kruijs_Opening
High_Elo_Van't_Kruijs_Opening_31231,Qh4+,2025-04-01 12:00:05,High Elo,Van't_Kruijs_Opening
