WhiteElo,BlackElo,Result,Moves,OpeningName
2014,1990,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Nf6', 'f4', 'g6', 'Nf3', 'Bg7']",Benoni Defense: Old Benoni
1876,1898,0-1,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Nf6', 'c3', 'd6', 'Nf3', 'Bg4']",Benoni Defense: Old Benoni
2249,2340,0-1,"['d4', 'c5', 'Nc3', 'Nc6', 'd5', 'Nb4', 'e4', 'Na6', 'Nf3', 'Nc7']",Benoni Defense: Old Benoni
2074,2075,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'e5', 'Nc3', 'Bc5']",Benoni Defense: Old Benoni
1979,1974,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'e5', 'dxe6', 'Bxe6', 'Qc2', 'Nf6']",Benoni Defense: Old Benoni
2248,2192,1-0,"['d4', 'c5', 'd5', 'd6', 'c4', 'e6', 'Nc3', 'exd5', 'cxd5', 'Nf6']",Benoni Defense: Old Benoni
1996,1941,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Nf3', 'g6', 'Nxd4', 'Bg7', 'Nc3', 'Qb6']",Benoni Defense: Old Benoni
2127,2200,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'c3', 'Nc6', 'cxd4', 'd5', 'Bg5', 'Nf6']",Benoni Defense: Old Benoni
1965,2099,0-1,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'Nf3', 'Nf6', 'Bd3', 'Nc6']",Benoni Defense: Old Benoni
2193,2184,0-1,"['d4', 'c5', 'Nf3', 'e6', 'g3', 'c4', 'Bg2', 'd5', 'b3', 'Nf6']",Benoni Defense: Old Benoni
2281,2250,1-0,"['d4', 'c5', 'Nc3', 'cxd4', 'Qxd4', 'e6', 'Bf4', 'a6', 'O-O-O', 'Nc6']",Benoni Defense: Old Benoni
2069,2072,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Bg5', 'Nc6', 'Nxd4', 'd6', 'Nc3', 'Qb6']",Benoni Defense: Old Benoni
2575,2478,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nb3', 'Nf6', 'Nc3', 'g6']",Benoni Defense: Old Benoni
2026,2039,0-1,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'd5', 'Nf3', 'Nc6', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2278,2237,1-0,"['d4', 'c5', 'c3', 'Nc6', 'd5', 'Nb8', 'e4', 'd6', 'c4', 'Nf6']",Benoni Defense: Old Benoni
2043,2032,1-0,"['d4', 'c5', 'e3', 'c4', 'Bxc4', 'e6', 'Nf3', 'd5', 'Bd3', 'Nc6']",Benoni Defense: Old Benoni
2014,1994,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nf3', 'Nf6', 'Nc3', 'g5']",Benoni Defense: Old Benoni
2067,2127,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Nc3', 'Nc6', 'Nd5', 'Nf6', 'Nxf6+', 'gxf6']",Benoni Defense: Old Benoni
1816,1815,1-0,"['d4', 'c5', 'e3', 'e6', 'c3', 'Ne7', 'f3', 'Ng6', 'g3', 'h5']",Benoni Defense: Old Benoni
2390,2341,1/2-1/2,"['d4', 'c5', 'Nc3', 'Nf6', 'Bg5', 'e6', 'e4', 'Be7', 'd5', 'd6']",Benoni Defense: Old Benoni
1883,1900,0-1,"['d4', 'c5', 'c3', 'e6', 'd5', 'a6', 'd6', 'Qb6', 'Bf4', 'Qxb2']",Benoni Defense: Old Benoni
2681,2701,1-0,"['d4', 'c5', 'd5', 'b5', 'c4', 'Qa5+', 'Nc3', 'b4', 'Nb1', 'g6']",Benoni Defense: Old Benoni
2097,2097,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'c3', 'Nf6', 'Nf3', 'Nc6']",Benoni Defense: Old Benoni
2432,2317,1-0,"['d4', 'c5', 'Bf4', 'cxd4', 'Qxd4', 'Nc6', 'Qd2', 'Nf6', 'Nc3', 'd6']",Benoni Defense: Old Benoni
2015,1919,1-0,"['d4', 'c5', 'Bf4', 'cxd4', 'Bxb8', 'Rxb8', 'Qxd4', 'Nf6', 'Qxa7', 'Qc7']",Benoni Defense: Old Benoni
2205,2345,0-1,"['d4', 'c5', 'd5', 'd6', 'c4', 'Nf6', 'Nc3', 'Nbd7', 'e4', 'e6']",Benoni Defense: Old Benoni
2137,2245,0-1,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Qc7', 'c3', 'Nc6', 'f4', 'e6']",Benoni Defense: Old Benoni
2253,2224,0-1,"['d4', 'c5', 'd5', 'e6', 'c4', 'exd5', 'cxd5', 'd6', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
