WhiteElo,BlackElo,Result,Moves,OpeningName
2641,2659,0-1,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'Be7', 'Bd3', 'O-O', 'b3', 'd5']",Indian Defense
2018,2009,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'b6', 'Nf3', 'Bb7', 'Nbd2', 'c5']",Indian Defense
2172,2170,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'h3', 'O-O', 'Nf3', 'd6']",Indian Defense
2005,1994,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'c5', 'Bc4', 'Bg7', 'Bxf7+', 'Kxf7']",Indian Defense
2053,1990,0-1,"['d4', 'Nf6', 'h3', 'e6', 'a3', 'c5', 'c3', 'cxd4', 'cxd4', 'Nc6']",Indian Defense
2121,2099,1-0,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'd5', 'Bd3', 'c5', 'b3', 'Nc6']",Indian Defense
2256,2235,1-0,"['d4', 'Nf6', 'e3', 'g6', 'f4', 'Bg7', 'Nf3', 'O-O', 'Bd3', 'd6']",Indian Defense
2483,2483,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'e3', 'Bg7', 'Nf3', 'O-O', 'h4', 'd6']",Indian Defense
2085,1995,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'Nc6', 'e4', 'e5', 'dxe5', 'dxe5']",Indian Defense
2190,2095,1-0,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'e6', 'Nc3', 'Bd6', 'Bg3', 'a6']",Indian Defense
1861,1877,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'c6', 'e5', 'Nd5', 'Nxd5', 'exd5']",Indian Defense
1864,1868,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'Be7', 'Nf3', 'O-O', 'Bd3', 'Nd5']",Indian Defense
1974,1972,1-0,"['d4', 'Nf6', 'Bf4', 'd6', 'Nf3', 'g6', 'Qd2', 'Bg7', 'Nc3', 'O-O']",Indian Defense
1811,1804,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Bd3', 'Be7', 'Nf3', 'Nbd7']",Indian Defense
1800,1923,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'Bf4', 'c5', 'e3', 'cxd4', 'exd4', 'Nc6']",Indian Defense
1925,1894,0-1,"['d4', 'Nf6', 'c3', 'g6', 'Bf4', 'Bg7', 'Bg3', 'O-O', 'Nf3', 'c5']",Indian Defense
2108,2082,1-0,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'Nbd7', 'Qd2', 'c6', 'O-O-O', 'b5']",Indian Defense
2442,2561,0-1,"['d4', 'Nf6', 'Nc3', 'e6', 'Bg5', 'd5', 'Bxf6', 'Qxf6', 'e4', 'dxe4']",Indian Defense
1821,1899,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nc3', 'g6', 'e4', 'Bg7', 'e5', 'dxe5']",Indian Defense
1894,1943,1-0,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'c5', 'c4', 'Nc6', 'Nc3', 'cxd4']",Indian Defense
2171,2158,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'Qd2', 'O-O', 'Bh6', 'd6']",Indian Defense
2141,2051,1-0,"['d4', 'Nf6', 'e3', 'e6', 'f4', 'd5', 'Nf3', 'Be7', 'c3', 'O-O']",Indian Defense
1858,1872,1-0,"['d4', 'Nf6', 'Bf4', 'c6', 'Nf3', 'd5', 'e3', 'g6', 'c4', 'Bg7']",Indian Defense
2132,2062,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'Bg7', 'Nc3', 'd6', 'e3', 'Bf5']",Indian Defense
1877,1902,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'e3', 'g6', 'Nf3', 'Bg7', 'c3', 'O-O']",Indian Defense
2295,2537,0-1,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'c5', 'Bd3', 'cxd4', 'exd4', 'd6']",Indian Defense
2295,2388,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'Nc3', 'd5', 'e3', 'Be7', 'Nb5', 'Na6']",Indian Defense
1968,1976,1-0,"['d4', 'Nf6', 'e3', 'd5', 'c4', 'g6', 'Bd2', 'Bg7', 'Nf3', 'e6']",Indian Defense
2423,2369,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'c5', 'Nf3', 'd5', 'c3', 'Qb6']",Indian Defense
1891,1966,0-1,"['d4', 'Nf6', 'Bf4', 'c5', 'e3', 'g6', 'Nf3', 'e6', 'c3', 'd5']",Indian Defense
2145,2164,1-0,"['d4', 'Nf6', 'e3', 'g6', 'f4', 'Bg7', 'Be2', 'c5', 'h4', 'cxd4']",Indian Defense
1911,1901,1-0,"['d4', 'Nf6', 'Nd2', 'g6', 'e4', 'd6', 'Ngf3', 'Bg7', 'Bd3', 'Nbd7']",Indian Defense
1968,2029,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nf3', 'g6', 'Nc3', 'Nh5', 'Bg5', 'h6']",Indian Defense
2131,2011,1-0,"['d4', 'Nf6', 'e3', 'b6', 'b3', 'Bb7', 'Bb2', 'd6', 'Nd2', 'Nbd7']",Indian Defense
2191,2168,1-0,"['d4', 'Nf6', 'e3', 'c5', 'Bd3', 'cxd4', 'exd4', 'd5', 'c3', 'Nc6']",Indian Defense
