WhiteElo,BlackElo,Result,Moves,OpeningName
899,835,0-1,"['e3', 'e5', 'f4', 'd6', 'e4', 'exf4', 'Nf3', 'f5', 'e5', 'dxe5']",Van't Kruijs Opening
1172,1163,1-0,"['e3', 'c5', 'c4', 'e6', 'Qa4', 'Nc6', 'a3', 'Nf6', 'Nc3', 'd5']",Van't Kruijs Opening
657,701,0-1,"['e3', 'e5', 'g4', 'd5', 'Bg2', 'Nf6', 'd4', 'exd4', 'exd4', 'Bxg4']",Van't Kruijs Opening
1064,1028,0-1,"['e3', 'Nf6', 'd3', 'd5', 'c3', 'c5', 'Nh3', 'e5', 'f4', 'Nc6']",Van't Kruijs Opening
1053,1058,0-1,"['e3', 'd5', 'h4', 'e5', 'Qh5', 'Bd6', 'Nc3', 'c6', 'Nf3', 'g6']",Van't Kruijs Opening
1142,1105,1-0,"['e3', 'e5', 'Nc3', 'Nc6', 'Qh5', 'g6', 'Qf3', 'd6', 'Bc4', 'Nf6']",Van't Kruijs Opening
997,985,0-1,"['e3', 'e5', 'Na3', 'Bxa3', 'bxa3', 'Qf6', 'Nf3', 'g5', 'Bb2', 'd6']",Van't Kruijs Opening
801,1089,0-1,"['e3', 'e5', 'c3', 'd5', 'g3', 'Nc6', 'b4', 'Nf6', 'b5', 'Na5']",Van't Kruijs Opening
1028,1049,1-0,"['e3', 'Nf6', 'd3', 'e6', 'Nf3', 'd5', 'Be2', 'Be7', 'Bd2', 'Nbd7']",Van't Kruijs Opening
912,941,1-0,"['e3', 'e6', 'd4', 'a6', 'Bd3', 'b5', 'c3', 'Bb7', 'Nf3', 'h6']",Van't Kruijs Opening
1052,1025,0-1,"['e3', 'g6', 'b3', 'Bg7', 'c3', 'd5', 'Nf3', 'Nc6', 'd4', 'e5']",Van't Kruijs Opening
736,692,0-1,"['e3', 'e5', 'f3', 'd6', 'd4', 'exd4', 'Qe2', 'dxe3', 'Qxe3+', 'Qe7']",Van't Kruijs Opening
1019,700,0-1,"['e3', 'e5', 'Qh5', 'Qf6', 'Nf3', 'd6', 'd4', 'e4', 'Ng5', 'Nc6']",Van't Kruijs Opening
1063,1018,1-0,"['e3', 'e5', 'Qh5', 'Qf6', 'Nc3', 'c6', 'Ne4', 'Qe6', 'b3', 'g6']",Van't Kruijs Opening
944,953,0-1,"['e3', 'd5', 'c4', 'Nf6', 'cxd5', 'Nxd5', 'Bc4', 'Nf6', 'h3', 'c6']",Van't Kruijs Opening
955,951,1-0,"['e3', 'e5', 'd3', 'Nc6', 'Bd2', 'Nf6', 'Be2', 'd5', 'f3', 'Be7']",Van't Kruijs Opening
982,892,1-0,"['e3', 'e6', 'Bc4', 'Bc5', 'Nf3', 'Nf6', 'O-O', 'O-O', 'Nc3', 'Nc6']",Van't Kruijs Opening
941,965,1-0,"['e3', 'd5', 'd4', 'e6', 'Ne2', 'Nf6', 'Ng3', 'c5', 'Nc3', 'cxd4']",Van't Kruijs Opening
1075,1119,0-1,"['e3', 'e5', 'd3', 'Nf6', 'Nh3', 'h6', 'a3', 'd6', 'f3', 'Bxh3']",Van't Kruijs Opening
817,794,0-1,"['e3', 'e6', 'Qh5', 'Qe7', 'Qf3', 'Nf6', 'Nc3', 'Nc6', 'Nh3', 'Ne5']",Van't Kruijs Opening
1110,1108,0-1,"['e3', 'e5', 'c3', 'Nc6', 'a3', 'd6', 'Qf3', 'Be6', 'g3', 'Qf6']",Van't Kruijs Opening
849,960,0-1,"['e3', 'e5', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qf4', 'Bd6', 'Qf3', 'Qf6']",Van't Kruijs Opening
759,745,0-1,"['e3', 'd5', 'd3', 'e5', 'Nc3', 'Bb4', 'Bd2', 'Nf6', 'Nf3', 'Nc6']",Van't Kruijs Opening
1161,1158,0-1,"['e3', 'e5', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qe4+', 'Be7', 'c3', 'Nf6']",Van't Kruijs Opening
1040,999,0-1,"['e3', 'b6', 'g3', 'Bb7', 'f3', 'e5', 'b3', 'Nf6', 'Bb2', 'Nc6']",Van't Kruijs Opening
977,935,1-0,"['e3', 'e5', 'Qh5', 'Nf6', 'Qxe5+', 'Be7', 'Bc4', 'Nc6', 'Qf4', 'd5']",Van't Kruijs Opening
959,960,1-0,"['e3', 'd5', 'Qf3', 'Nh6', 'Qxd5', 'Qxd5', 'Bb5+', 'c6', 'Bxc6+', 'Qxc6']",Van't Kruijs Opening
1153,1107,1-0,"['e3', 'e5', 'd3', 'd5', 'f4', 'Nc6', 'c4', 'd4', 'Nf3', 'Be6']",Van't Kruijs Opening
974,985,1-0,"['e3', 'e5', 'b3', 'd6', 'Bb2', 'Nf6', 'g3', 'Be6', 'Bg2', 'Qd7']",Van't Kruijs Opening
1146,1030,1-0,"['e3', 'e5', 'Bc4', 'Nc6', 'Qf3', 'Nh6', 'd4', 'exd4', 'exd4', 'Qe7+']",Van't Kruijs Opening
846,889,1-0,"['e3', 'e5', 'd3', 'Nc6', 'd4', 'e4', 'f3', 'f5', 'fxe4', 'fxe4']",Van't Kruijs Opening
1025,1123,1-0,"['e3', 'd5', 'Nf3', 'Nc6', 'Bb5', 'Bd7', 'Ne5', 'Nxe5', 'Bxd7+', 'Nxd7']",Van't Kruijs Opening
1157,1188,1-0,"['e3', 'e5', 'Nc3', 'd5', 'b3', 'c5', 'Bb2', 'Nc6', 'Qf3', 'e4']",Van't Kruijs Opening
