WhiteElo,BlackElo,Result,Moves,OpeningName
2025,2049,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'Nc6', 'Be3', 'Bg4', 'f3', 'Bc8']",Pirc Defense
2149,2151,0-1,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'c6', 'Bg5', 'Nbd7', 'Nf3', 'Qa5']",Pirc Defense
2136,2133,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'e5', 'dxe5', 'Nxe5', 'Nbd7', 'Qe2', 'Nxe5']",Pirc Defense
1952,1830,1-0,"['e4', 'd6', 'd3', 'c6', 'c3', 'Nf6', 'Nd2', 'g6', 'Ngf3', 'Bg7']",Pirc Defense
1903,1880,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'Bc4', 'c6']",Pirc Defense
2204,2052,0-1,"['e4', 'd6', 'Nc3', 'e5', 'g3', 'f5', 'Bg2', 'Nc6', 'Nge2', 'Nf6']",Pirc Defense
1851,1835,1-0,"['e4', 'd6', 'Nf3', 'e5', 'c3', 'Bg4', 'd4', 'Nd7', 'dxe5', 'Bxf3']",Pirc Defense
2319,2306,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'Nbd7', 'Ne2', 'e5', 'c3', 'Be7']",Pirc Defense
2048,2044,1/2-1/2,"['e4', 'd6', 'Bc4', 'Nf6', 'Nc3', 'g6', 'a3', 'Bg7', 'h3', 'O-O']",Pirc Defense
1839,1883,0-1,"['e4', 'd6', 'd4', 'e6', 'f4', 'Ne7', 'Nf3', 'd5', 'e5', 'g6']",Pirc Defense
2064,2170,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'e5', 'c3', 'g6', 'f4', 'exd4']",Pirc Defense
1852,1866,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'Bg4', 'd4', 'Bxf3', 'gxf3', 'Nc6']",Pirc Defense
2190,2159,0-1,"['e4', 'd6', 'd4', 'g6', 'Bd3', 'Bg7', 'c3', 'Nf6', 'f4', 'O-O']",Pirc Defense
2448,2363,1-0,"['e4', 'd6', 'd4', 'c6', 'Bd3', 'Qc7', 'c3', 'Nd7', 'f4', 'e5']",Pirc Defense
1865,1834,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Bc4', 'c6', 'Nf3', 'b5']",Pirc Defense
1974,1954,0-1,"['e4', 'd6', 'Nc3', 'Nd7', 'Nf3', 'b6', 'd4', 'Bb7', 'Bb5', 'Nf6']",Pirc Defense
2197,2226,1/2-1/2,"['e4', 'd6', 'Bc4', 'Nf6', 'Nc3', 'g6', 'd3', 'e5', 'Be3', 'Bg7']",Pirc Defense
1896,1875,1/2-1/2,"['e4', 'd6', 'Nf3', 'e5', 'd4', 'f5', 'dxe5', 'Nc6', 'exd6', 'Bxd6']",Pirc Defense
2139,2020,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'h3', 'Bg7', 'g4', 'O-O']",Pirc Defense
2447,2408,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'Nc6', 'Bb5', 'Nf6']",Pirc Defense
1857,1855,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'd4', 'Bg4', 'Nc3', 'Bxf3', 'Qxf3', 'Nc6']",Pirc Defense
2297,2282,1-0,"['e4', 'd6', 'Bc4', 'Nf6', 'd4', 'g6', 'd5', 'Nxe4', 'Bb3', 'Nf6']",Pirc Defense
2140,2047,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'g6', 'f4', 'Bg7', 'Nf3', 'O-O']",Pirc Defense
2041,1950,0-1,"['e4', 'd6', 'd4', 'Nc6', 'd5', 'Ne5', 'f4', 'Ng6', 'Nf3', 'f5']",Pirc Defense
1993,2000,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'c3', 'Bg7', 'f4', 'O-O']",Pirc Defense
1970,1920,1-0,"['e4', 'd6', 'Nf3', 'f6', 'd4', 'e6', 'Nh4', 'Bd7', 'Qh5+', 'g6']",Pirc Defense
1960,1983,0-1,"['e4', 'd6', 'Bc4', 'Nf6', 'd3', 'g6', 'h3', 'Bg7', 'c3', 'O-O']",Pirc Defense
1849,1827,1-0,"['e4', 'd6', 'd4', 'c5', 'd5', 'Nf6', 'c4', 'Nxe4', 'Nf3', 'Nf6']",Pirc Defense
2022,2021,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'Nd7', 'Be2', 'e5']",Pirc Defense
1939,1910,0-1,"['e4', 'd6', 'd4', 'c6', 'c4', 'Nd7', 'Nc3', 'Qc7', 'Nf3', 'b6']",Pirc Defense
1828,1832,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'g6', 'Nf3', 'Bg7', 'Bd3', 'O-O']",Pirc Defense
2059,2037,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'Bc4', 'Nc6']",Pirc Defense
2036,2201,1-0,"['e4', 'd6', 'Bb5+', 'Nd7', 'Bxd7+', 'Bxd7', 'e5', 'Bc6', 'd4', 'Bd7']",Pirc Defense
2156,2073,1-0,"['e4', 'd6', 'd4', 'c6', 'Nd2', 'Nf6', 'Ngf3', 'Qa5', 'c3', 'Bg4']",Pirc Defense
1872,1927,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nbd7', 'Be3', 'e5', 'dxe5', 'Nxe5']",Pirc Defense
1851,1811,0-1,"['e4', 'd6', 'd4', 'Bg4', 'Qxg4', 'Nc6', 'Be3', 'Nf6', 'Qd1', 'Nxe4']",Pirc Defense
2566,2639,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'Nf3', 'Bg4', 'Bc4', 'Bxf3', 'Qxf3', 'Nbd7']",Pirc Defense
1866,1863,1-0,"['e4', 'd6', 'Nc3', 'g6', 'd3', 'Bg7', 'Nf3', 'Nf6', 'd4', 'O-O']",Pirc Defense
2220,2107,1-0,"['e4', 'd6', 'd4', 'c6', 'c4', 'Nf6', 'Nc3', 'Qa5', 'Nf3', 'Nxe4']",Pirc Defense
2104,2085,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'a6', 'Qd2', 'b5']",Pirc Defense
2152,2165,0-1,"['e4', 'd6', 'Nc3', 'g6', 'd3', 'Bg7', 'Be3', 'Nf6', 'f4', 'O-O']",Pirc Defense
1904,1904,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'Ne2', 'Bg7', 'f3', 'c5']",Pirc Defense
1837,1837,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'Nf3', 'e5', 'b3', 'g6', 'Bb2', 'Bg7']",Pirc Defense
1935,1968,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'e5', 'c3', 'd5', 'dxe5', 'Nxe4']",Pirc Defense
1981,1982,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'e5', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8']",Pirc Defense
1836,1811,0-1,"['e4', 'd6', 'Nf3', 'g6', 'e5', 'Bg7', 'exd6', 'cxd6', 'Bb5+', 'Nc6']",Pirc Defense
2446,2061,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'Nf3', 'g6', 'd4', 'Bg7', 'Bg5', 'O-O']",Pirc Defense
1855,1862,0-1,"['e4', 'd6', 'Nf3', 'c5', 'Bc4', 'h6', 'Nc3', 'Nf6', 'h3', 'e5']",Pirc Defense
2302,2245,0-1,"['e4', 'd6', 'd4', 'Nf6', 'd5', 'g6', 'Nc3', 'Bg7', 'Bb5+', 'c6']",Pirc Defense
2165,2131,1/2-1/2,"['e4', 'd6', 'Nf3', 'Nd7', 'Bc4', 'e5', 'O-O', 'h6', 'c3', 'g6']",Pirc Defense
2246,2381,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'e5', 'dxe5', 'Nxe5', 'e6', 'Bb5+', 'c6']",Pirc Defense
2017,1996,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'e5', 'c3', 'Be7', 'Nf3', 'Nbd7']",Pirc Defense
1870,1897,1-0,"['e4', 'd6', 'Nf3', 'e5', 'd4', 'Bg4', 'dxe5', 'Bxf3', 'gxf3', 'Nc6']",Pirc Defense
1812,1834,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'Nf3', 'Bg7', 'h3', 'O-O']",Pirc Defense
2446,2410,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'Nf6', 'e5', 'dxe5']",Pirc Defense
1808,1850,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'g6', 'c4', 'Bg7', 'Nc3', 'O-O']",Pirc Defense
1983,1983,0-1,"['e4', 'd6', 'Nc3', 'Nf6', 'Qf3', 'g6', 'h4', 'Bg7', 'Qg3', 'c5']",Pirc Defense
1862,1854,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Bg4', 'f3', 'Bd7', 'Bg5', 'g6']",Pirc Defense
1881,1855,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'g6', 'f4', 'Bg7', 'e5', 'dxe5']",Pirc Defense
1821,1916,1-0,"['e4', 'd6', 'Nf3', 'g6', 'Bc4', 'Bg7', 'd4', 'e6', 'Bg5', 'Ne7']",Pirc Defense
2177,2281,0-1,"['e4', 'd6', 'Nf3', 'Nc6', 'd4', 'Nf6', 'Nc3', 'Bg4', 'Bg5', 'e5']",Pirc Defense
1926,2039,1-0,"['e4', 'd6', 'd3', 'c5', 'f4', 'g6', 'Nf3', 'Bg7', 'c3', 'Nc6']",Pirc Defense
2074,2076,0-1,"['e4', 'd6', 'Nf3', 'g6', 'Nc3', 'Bg7', 'd3', 'Nc6', 'Be2', 'e5']",Pirc Defense
2033,2011,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'e5', 'c3', 'Be7', 'f4', 'Nbd7']",Pirc Defense
1860,1846,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'Bb5+', 'c6', 'Be2', 'Bg7']",Pirc Defense
2021,1918,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Bd3', 'e5', 'c3', 'Be7', 'Bc2', 'Nbd7']",Pirc Defense
2110,2115,0-1,"['e4', 'd6', 'd4', 'a5', 'c4', 'Nf6', 'Nc3', 'g6', 'Bg5', 'Bg7']",Pirc Defense
1930,1911,1/2-1/2,"['e4', 'd6', 'Nf3', 'Nd7', 'd4', 'e5', 'g3', 'Ngf6', 'Nc3', 'Be7']",Pirc Defense
1945,1956,0-1,"['e4', 'd6', 'Nc3', 'Nf6', 'f4', 'c5', 'Nf3', 'Nc6', 'Bb5', 'Bd7']",Pirc Defense
2693,2704,1-0,"['e4', 'd6', 'c4', 'Nd7', 'd4', 'c6', 'Nc3', 'e5', 'Nf3', 'exd4']",Pirc Defense
2060,2064,1-0,"['e4', 'd6', 'Nc3', 'b6', 'd4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'e5']",Pirc Defense
2307,2360,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'e5', 'Nf3', 'Nbd7', 'Bc4', 'Be7']",Pirc Defense
1805,1822,1-0,"['e4', 'd6', 'Nf3', 'Nd7', 'Bc4', 'e5', 'd3', 'f6', 'Nc3', 'g5']",Pirc Defense
2341,1858,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'g6', 'f4', 'Bg7', 'Nf3', 'Nbd7']",Pirc Defense
2130,2124,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'c6', 'Qd2', 'a6']",Pirc Defense
